icon_id,source_set,source_png_path,source_filename,source_type,atlas_region_rect,width,height,visible_bbox,transparent_percentage,quality_classification,primary_category,recommended_uses,recommended_ui_control,recommended_dock_asset_type,recommended_world_container,recommended_default_world_scale,recommended_z_index_role,notes,warnings
pvg_icon_cyber_city_icons_cyber_clothingpile_1_b2ef1c0c,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/ClothingPile_1.png,ClothingPile_1.png,individual_png,,512,512,"[16, 133, 492, 473]",57.457,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_clothingpile_2_fa1889a4,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/ClothingPile_2.png,ClothingPile_2.png,individual_png,,512,512,"[6, 149, 509, 437]",69.812,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_clothingpile_3_0dce16fe,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/ClothingPile_3.png,ClothingPile_3.png,individual_png,,512,512,"[5, 111, 494, 459]",55.404,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_clothingpile_4_f5663c30,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/ClothingPile_4.png,ClothingPile_4.png,individual_png,,512,512,"[9, 127, 491, 477]",58.949,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_coffee_1_68384049,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Coffee_1.png,Coffee_1.png,individual_png,,512,512,"[55, 140, 413, 425]",70.653,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_coffeetable_1_5b8def5f,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/CoffeeTable_1.png,CoffeeTable_1.png,individual_png,,512,512,"[5, 139, 508, 437]",75.781,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_terminal_computer_1_f4133522,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Computer_1.png,Computer_1.png,individual_png,,512,512,"[11, 97, 488, 392]",64.066,READY_BOTH,terminal,"[""store_terminal"", ""screen_graphic"", ""terminal"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_terminal_computer_2_367c3608,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Computer_2.png,Computer_2.png,individual_png,,512,512,"[22, 56, 499, 453]",61.758,READY_BOTH,terminal,"[""store_terminal"", ""screen_graphic"", ""terminal"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_terminal_computer_3_42dd7954,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Computer_3.png,Computer_3.png,individual_png,,512,512,"[7, 36, 506, 446]",65.121,READY_BOTH,terminal,"[""store_terminal"", ""screen_graphic"", ""terminal"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_terminal_computer_4_c1b95187,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Computer_4.png,Computer_4.png,individual_png,,512,512,"[153, 12, 332, 505]",73.676,READY_BOTH,terminal,"[""store_terminal"", ""screen_graphic"", ""terminal"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_terminal_computer_5_14028f24,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Computer_5.png,Computer_5.png,individual_png,,512,512,"[71, 17, 461, 477]",61.058,READY_BOTH,terminal,"[""store_terminal"", ""screen_graphic"", ""terminal"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_terminal_computerstation_1_daf610b6,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/ComputerStation_1.png,ComputerStation_1.png,individual_png,,512,512,"[5, 43, 507, 459]",47.489,READY_BOTH,terminal,"[""store_terminal"", ""screen_graphic"", ""terminal"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_terminal_computertower_1_c0ef2fd6,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/ComputerTower_1.png,ComputerTower_1.png,individual_png,,512,512,"[28, 26, 440, 495]",38.158,READY_BOTH,terminal,"[""store_terminal"", ""screen_graphic"", ""terminal"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_console_1_54ca0645,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Console_1.png,Console_1.png,individual_png,,512,512,"[30, 16, 484, 501]",50.943,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
