asset_id,path,filename,parent_folder,top_level_pack_folder,pack,width,height,aspect_ratio,has_alpha,alpha_bbox_min_x,alpha_bbox_min_y,alpha_bbox_max_x,alpha_bbox_max_y,alpha_bbox_width,alpha_bbox_height,alpha_bbox_aspect_ratio,transparent_pixel_percentage,coverage_percentage,corner_transparency_pattern,filename_keyword_tags,inferred_category,inferred_subcategory,confidence_score,recommended_placement_method,recommended_target_layer,recommended_z_index,recommended_snap_mode,recommended_use_hideout,recommended_use_taco_bell,candidate_tilemap_layer,candidate_sprite2d_stamping,likely_floor,likely_wall,likely_prop,likely_tall_foreground,likely_lighting_neon,likely_character_asset,likely_ui_avoid,birthday_build_candidate,notes
pvg_clutter_small_acunit2_3_243bc8c3,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit2_3.png,ACUnit2_3.png,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,65,55,1.1818,True,1,2,64,54,64,53,1.2075,25.62,74.38,"{""top_left"": 0.4336, ""top_right"": 0.4336, ""bottom_left"": 0.5944, ""bottom_right"": 0.6503}","[""3"", ""acunit2""]",CLUTTER_SMALL,industrial_prop,0.68,Sprite2D,DecorationLayer,-65,free_visual,maybe,yes,False,True,False,False,True,False,False,False,False,True,Measurement and filename agree enough for initial art-library use.
pvg_clutter_small_acunit2_4_de265656,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit2_4.png,ACUnit2_4.png,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,24,80,0.3,True,1,1,21,79,21,79,0.2658,23.7,76.3,"{""top_left"": 0.2969, ""top_right"": 0.7656, ""bottom_left"": 0.6562, ""bottom_right"": 0.5469}","[""4"", ""acunit2""]",CLUTTER_SMALL,industrial_prop,0.68,Sprite2D,DecorationLayer,-65,free_visual,maybe,yes,False,True,False,False,True,False,False,False,False,True,Measurement and filename agree enough for initial art-library use.
pvg_clutter_small_acunit2_5_d7f65b5d,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit2_5.png,ACUnit2_5.png,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,62,69,0.8986,True,4,0,60,67,57,68,0.8382,43.76,56.24,"{""top_left"": 1.0, ""top_right"": 0.5641, ""bottom_left"": 0.5513, ""bottom_right"": 1.0}","[""5"", ""acunit2""]",CLUTTER_SMALL,industrial_prop,0.68,Sprite2D,DecorationLayer,-65,free_visual,maybe,yes,False,True,False,False,True,False,False,False,False,True,Measurement and filename agree enough for initial art-library use.
pvg_clutter_small_acunit2_6_f83742e5,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit2_6.png,ACUnit2_6.png,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,63,69,0.913,True,4,0,61,67,58,68,0.8529,44.54,55.46,"{""top_left"": 0.75, ""top_right"": 1.0, ""bottom_left"": 1.0, ""bottom_right"": 0.4295}","[""6"", ""acunit2""]",CLUTTER_SMALL,industrial_prop,0.68,Sprite2D,DecorationLayer,-65,free_visual,maybe,yes,False,True,False,False,True,False,False,False,False,True,Measurement and filename agree enough for initial art-library use.
pvg_clutter_small_acunit2_7_351e5a47,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit2_7.png,ACUnit2_7.png,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,61,78,0.7821,True,4,1,60,76,57,76,0.75,46.15,53.85,"{""top_left"": 0.7667, ""top_right"": 1.0, ""bottom_left"": 1.0, ""bottom_right"": 0.9111}","[""7"", ""acunit2""]",CLUTTER_SMALL,industrial_prop,0.68,Sprite2D,DecorationLayer,-65,free_visual,maybe,yes,False,True,False,False,True,False,False,False,False,True,Measurement and filename agree enough for initial art-library use.
pvg_clutter_small_acunit2_8_eb3c3817,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit2_8.png,ACUnit2_8.png,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,62,78,0.7949,True,4,1,61,76,58,76,0.7632,47.11,52.89,"{""top_left"": 1.0, ""top_right"": 0.5889, ""bottom_left"": 0.9944, ""bottom_right"": 1.0}","[""8"", ""acunit2""]",CLUTTER_SMALL,industrial_prop,0.68,Sprite2D,DecorationLayer,-65,free_visual,maybe,yes,False,True,False,False,True,False,False,False,False,True,Measurement and filename agree enough for initial art-library use.
pvg_clutter_small_acunit3_1_fb0e0dc3,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit3_1.png,ACUnit3_1.png,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,65,47,1.383,True,1,2,64,45,64,44,1.4545,18.23,81.77,"{""top_left"": 0.4615, ""top_right"": 0.4615, ""bottom_left"": 0.3077, ""bottom_right"": 0.2906}","[""1"", ""acunit3""]",CLUTTER_SMALL,industrial_prop,0.68,Sprite2D,DecorationLayer,-65,free_visual,maybe,yes,False,True,False,False,True,False,False,False,False,True,Measurement and filename agree enough for initial art-library use.
pvg_clutter_small_acunit3_2_ada12dec,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit3_2.png,ACUnit3_2.png,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,27,80,0.3375,True,4,1,24,78,21,78,0.2692,32.18,67.82,"{""top_left"": 1.0, ""top_right"": 0.4375, ""bottom_left"": 0.85, ""bottom_right"": 0.725}","[""2"", ""acunit3""]",CLUTTER_SMALL,industrial_prop,0.68,Sprite2D,DecorationLayer,-65,free_visual,maybe,yes,False,True,False,False,True,False,False,False,False,True,Measurement and filename agree enough for initial art-library use.
pvg_clutter_small_acunit3_3_cc5012a7,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit3_3.png,ACUnit3_3.png,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,65,55,1.1818,True,1,2,64,54,64,53,1.2075,25.62,74.38,"{""top_left"": 0.4336, ""top_right"": 0.4336, ""bottom_left"": 0.5944, ""bottom_right"": 0.6503}","[""3"", ""acunit3""]",CLUTTER_SMALL,industrial_prop,0.68,Sprite2D,DecorationLayer,-65,free_visual,maybe,yes,False,True,False,False,True,False,False,False,False,True,Measurement and filename agree enough for initial art-library use.
pvg_clutter_small_acunit3_4_5013e2c9,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit3_4.png,ACUnit3_4.png,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,24,80,0.3,True,1,1,21,79,21,79,0.2658,23.7,76.3,"{""top_left"": 0.2969, ""top_right"": 0.7656, ""bottom_left"": 0.6562, ""bottom_right"": 0.5469}","[""4"", ""acunit3""]",CLUTTER_SMALL,industrial_prop,0.68,Sprite2D,DecorationLayer,-65,free_visual,maybe,yes,False,True,False,False,True,False,False,False,False,True,Measurement and filename agree enough for initial art-library use.
